,link,name,cost_text,coordinates,rooms,external_information,desc,bedroom,bathroom,parking,weekly_rent,postcode,bond
10,https://www.domain.com.au/27-moffat-street-brighton-vic-3186-16024852,27 Moffat Street Brighton VIC 3186,"$3,200.00","[-37.9229499, 144.9973078]","[['4 Beds'], ['3 Baths'], ['2 Parking']]",Date Available: Available NowBond $19200,Melissa Gilder,4,3,2,3200.0,3186,19200.0
11,https://www.domain.com.au/brighton-vic-3186-14427083,Brighton VIC 3186,Fine Furnished Residences at Westprecinct,"[-37.9043383, 144.9931825]","[['6 Beds'], ['4 Baths'], ['4 Parking']]",,*Private inspections only at suggested times or by appointment*,6,4,4,,3186,
12,https://www.domain.com.au/7302-462-elizabeth-street-melbourne-vic-3000-15631154,7302/462 Elizabeth Street Melbourne VIC 3000,"$3,100 per week","[-37.807859, 144.960611]","[['3 Beds'], ['2 Baths'], ['1 Parking']]",Date Available: Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,2,1,3100.0,3000,
13,https://www.domain.com.au/2b-mulgoa-street-brighton-vic-3186-16031980,2B Mulgoa Street Brighton VIC 3186,$3000 Per Week,"[-37.9025755, 144.988376]","[['4 Beds'], ['3 Baths'], ['2 Parking'], []]","Available from Thursday, 15th September 2022Bond $18000Land area 509m²",Samantha Middleton,4,3,2,3000.0,3186,18000.0
14,https://www.domain.com.au/5-wellington-street-brighton-vic-3186-15950472,5 Wellington Street Brighton VIC 3186,$2995 Per Week,"[-37.915482, 144.9891089]","[['4 Beds'], ['3 Baths'], ['2 Parking']]",Date Available: Available NowBond $17970,"Ground-breaking design brings architectural magnificence to this as-new home, metres from the beach and moments from Church Street. The location on the corner of Albert Street adds a prestige cache to this remarkable retreat, featuring the most luxurious finishes, warehouse-inspired spaces, and a self-cleaning pool and spa as part of the parents' retreat.",4,3,2,2995.0,3186,17970.0
15,https://www.domain.com.au/1-bronte-court-hampton-vic-3188-16043802,1 Bronte Court Hampton VIC 3188,"$3,000 per week","[-37.9399869, 145.0199068]","[['4 Beds'], ['4 Baths'], ['2 Parking']]",Date Available: Available NowBond $15000,**FULLY FURNISHED**,4,4,2,3000.0,3188,15000.0
16,https://www.domain.com.au/3607-80-a-beckett-street-melbourne-vic-3000-11696896,3607/80 A'Beckett Street Melbourne VIC 3000,"$3,000 weekly","[-37.8090372, 144.9610905]","[['2 Beds'], ['1 Bath'], []]",Date Available: Available NowBond $3000,*Available at the time as advertised. Please contact the agent to register prior to attending.*,2,1,0,3000.0,3000,3000.0
17,https://www.domain.com.au/2202-14-16-the-esplanade-st-kilda-vic-3182-15969170,2202/14-16 The Esplanade St Kilda VIC 3182,"$3,000","[-37.8650177, 144.9746821]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $18000,"Inspired by the interplay of timeless design and beach ambiance, Melbourne joins the ranks of Miami, Santa Monica, Saint-Tropez and Cannes with Saint Moritz Beachfront Residences. 
The brand-new development by GURNER reaches a level of architectural detail, amenity and service level that is the first of its kind on the global stage. Saint Moritz is a lush resort-style oasis of three private",3,2,2,3000.0,3182,18000.0
18,https://www.domain.com.au/brighton-vic-3186-9287841,Brighton VIC 3186,Fine Furnished Residences @ Westprecinct,"[-37.9044002, 144.9997396]","[['5 Beds'], ['4 Baths'], ['3 Parking']]",Date Available: Available Now,Welcome home to the GOLD STANDARD in furnished accommodation in a Westprecinct Signature Residence!,5,4,3,,3186,
19,https://www.domain.com.au/251-350-st-kilda-road-melbourne-vic-3000-15951316,251/350 St Kilda Road Melbourne VIC 3000,$2800 Per Week,"[-37.831142, 144.9708545]","[['3 Beds'], ['3 Baths'], ['3 Parking']]",Date Available: Available NowBond $16800,"Commanding a premier position in the most prestigious ""St James"" building, this 25th-floor sub-penthouse of exceptional proportions takes in panoramic views and delivers a lifestyle of refinement within walking distance to the Shrine of Remembrance, the Royal Botanic Gardens, Albert Park Lake, and restaurants. Uninterrupted panoramic views over the city of Melbourne, Port Phillip Bay, The",3,3,3,2800.0,3000,16800.0
20,https://www.domain.com.au/2601-14-16-the-esplanade-st-kilda-vic-3182-16047323,2601/14-16 The Esplanade St Kilda VIC 3182,"$2,700","[-37.8650177, 144.9746821]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $16200,Kelsey Proskewitz,3,2,2,2700.0,3182,16200.0
21,https://www.domain.com.au/42-dendy-street-brighton-vic-3186-15988734,42 Dendy Street Brighton VIC 3186,$2600.00 Per Week,"[-37.9200549, 144.9957406]","[['4 Beds'], ['3 Baths'], ['2 Parking']]",Date Available: Available NowBond $15600,Samantha Middleton,4,3,2,2600.0,3186,15600.0
22,https://www.domain.com.au/119-121-palmerston-street-carlton-vic-3053-13973576,119-121 Palmerston Street Carlton VIC 3053,$2600 per week,"[-37.7965569, 144.9711271]","[['4 Beds'], ['3 Baths'], ['1 Parking']]","Available from Saturday, 24th September 2022Bond $15600","Please note that in accordance with the government directive, any person wishing to inspect our rental properties must be fully vaccinated. Please register your interest online and receive automatic updates of inspection times when they become available.",4,3,1,2600.0,3053,15600.0
23,https://www.domain.com.au/231-299-queen-street-melbourne-vic-3000-15986804,231/299 Queen Street Melbourne VIC 3000,"$2,600.00","[-37.8114187, 144.9587916]","[['4 Beds'], ['4 Baths'], ['3 Parking']]",Date Available: Available NowBond $12000," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",4,4,3,2600.0,3000,12000.0
24,https://www.domain.com.au/15-webster-street-malvern-east-vic-3145-13350636,15 Webster Street Malvern East VIC 3145,"$120,000 plus gst and plus outgoings pa.","[-37.887544, 145.087289]","[['8 Beds'], ['5 Baths'], []]",Date Available: Available NowBond $23330,"This 18 room property is ideally located near Chadstone Shopping Centre, buses and has easy access to Monash Freeway. Potential usage for long term accommodation(stca) offering 4 bathrooms, huge stainless steel kitchen, disabled facilities, multiple parking spaces off street. Call now to inspect 95444611 or go to our website to arrange an inspection time. www. darraszervas.com.au",8,5,0,120000.0,3145,23330.0
25,https://www.domain.com.au/46-48-wells-road-beaumaris-vic-3193-16001198,46-48 Wells Road Beaumaris VIC 3193,"$2,500.00","[-37.9837637, 145.0499964]","[['5 Beds'], ['3 Baths'], ['2 Parking'], []]",Date Available: Available NowBond $10863Land area 1056m²,"A grand-scale renovation brings a contemporary West Coast vibe to one of the highest points in Beaumaris, where big bay, mountain and treetop views are truly magnificent. 
Every room and well-designed outdoor space of this spacious, quality home is ready for a luxe lifestyle, centered around four living and dining zones, a solar heater pool and spa, and deck, lawn and rooftop areas. Located near",5,3,2,2500.0,3193,10863.0
26,https://www.domain.com.au/blairgowrie-vic-3942-15804425,Blairgowrie VIC 3942,"$2,500 per week","[-38.3645949, 144.7686693]","[['4 Beds'], ['2 Baths'], []]",Date Available: Available NowBond $2000,Phone enquiry code for this property : 1942,4,2,0,2500.0,3942,2000.0
27,https://www.domain.com.au/133-north-road-brighton-vic-3186-16017654,133 North Road Brighton VIC 3186,"$2,500 per week","[-37.8988631, 145.0019562]","[['4 Beds'], ['2 Baths'], ['3 Parking']]","Available from Wednesday, 7th September 2022Bond $15000",Heidi Rodgers,4,2,3,2500.0,3186,15000.0
28,https://www.domain.com.au/3-knight-street-elwood-vic-3184-16014388,3 Knight Street Elwood VIC 3184,"$2,500 per week","[-37.880361, 144.9889154]","[['4 Beds'], ['4 Baths'], ['2 Parking']]","Available from Thursday, 1st September 2022Bond $16200",Jodi Sherr,4,4,2,2500.0,3184,16200.0
29,https://www.domain.com.au/5401-464-collins-street-melbourne-vic-3000-16063884,5401/464 Collins Street Melbourne VIC 3000,$2500 Per Week,"[-37.8175602, 144.9585916]","[['3 Beds'], ['3 Baths'], ['2 Parking']]","Available from Friday, 30th September 2022Bond $15000",Darren McMullin,3,3,2,2500.0,3000,15000.0
30,https://www.domain.com.au/3-stonecutters-road-portsea-vic-3944-15839853,3 Stonecutters Road Portsea VIC 3944,"$2,500 pw","[-38.334205, 144.725559]","[['4 Beds'], ['2 Baths'], ['4 Parking'], []]",Date Available: Available NowLand area 3000m²,"This beautifully presented Portsea holiday home is practically perfect and fully equipped with a swimming pool, private tennis court and a beautifully maintained garden. It consists of 4 bedrooms, 2 bathrooms with an en-suite off the master bedroom plus powder room.
two living areas decked out with large screen TV's, DVD's and quality furniture. The as new kitchen comes with all you could desire",4,2,4,2500.0,3944,
31,https://www.domain.com.au/richmond-vic-3121-13533466,Richmond VIC 3121,$2500,"[-37.8270184, 144.9997611]","[['4 Beds'], ['2 Baths'], [], []]",Date Available: Available NowBond $10000Land area 529m²Internal area 250m²,"Phone enquiry code for this property : 0363
Available NOW onwards
$2500/week",4,2,0,2500.0,3121,10000.0
32,https://www.domain.com.au/62-william-street-st-albans-vic-3021-15862727,62 william street St Albans VIC 3021,"$2,500/MONTH","[-37.737358, 144.815952]","[['2 Beds'], ['1 Bath'], []]",Date Available: Available NowBond $2500,ListedAS - SPACIOUS HOUSE FOR FAMILY BUSINESS,2,1,0,2500.0,3021,2500.0
33,https://www.domain.com.au/3203-14-16-the-esplanade-st-kilda-vic-3182-15986065,3203/14-16 The Esplanade St Kilda VIC 3182,"$2,500","[-37.8650177, 144.9746821]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $15000,"Inspired by the interplay of timeless design and beach ambiance, Melbourne joins the ranks of Miami, Santa Monica, Saint-Tropez and Cannes with Saint Moritz Beachfront Residences. 
The brand-new development by GURNER reaches a level of architectural detail, amenity and service level that is the first of its kind on the global stage. Saint Moritz is a lush resort-style oasis of three private",3,2,2,2500.0,3182,15000.0
34,https://www.domain.com.au/46-leviens-road-st-leonards-vic-3223-11326066,46 Leviens Road St Leonards VIC 3223,"$2500 pw High, $1600 pw Low, $380 pn","[-38.1792023, 144.7079338]","[['4 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $1000,"Overlooking a grassy reserve on the verge of the SeaChange Estate in St Leonards and within walking distance to the boat ramp and town centre, this well appointed two-storey townhouse provides a tranquil and convenient setting for your next Bellarine escape.",4,2,2,2050.0,3223,1000.0
35,https://www.domain.com.au/21-mathoura-road-toorak-vic-3142-15987977,21 Mathoura Road Toorak VIC 3142,"$2,500.00 Per Week","[-37.8472801, 145.0067771]","[['3 Beds'], ['3 Baths'], ['1 Parking']]",Date Available: Available NowBond $12500,"As featured in Belle Magazine, this absolutely beautiful solid brick Edwardian residence's meticulously renovated dimensions with architecture by Megowan and interiors by David Hicks, provides unparalleled single level luxury in an exclusive location between Hawksburn and Toorak Villages.
The commitment to elite quality is displayed throughout by the lavish use of Calacatta and Tundra marble",3,3,1,2500.0,3142,12500.0
36,https://www.domain.com.au/21-iona-avenue-toorak-vic-3142-15808965,21 Iona Avenue Toorak VIC 3142,$2500 Per Week,"[-37.848656, 145.016179]","[['4 Beds'], ['2 Baths'], ['4 Parking']]",Date Available: Available NowBond $15000,"Superbly positioned in one of Toorak's premier tree-lined streets, surrounded by prestigious family homes and walking distance to Beatty Ave cafes, Hawksburn and Toorak Villages, Malvern Road trams, Toorak Station, Orrong Park and some of Melbourne's finest schools including Loreto, Lauriston and St Catherine's, this impressive 1930's family home showcases abundant period features, substantial",4,2,4,2500.0,3142,15000.0
37,https://www.domain.com.au/24-montalto-avenue-toorak-vic-3142-16063542,24 Montalto Avenue Toorak VIC 3142,$2500 Per Week,"[-37.8439084, 145.0125453]","[['4 Beds'], ['3 Baths'], ['3 Parking']]",Date Available: Available NowBond $15000,Evelyne Surja,4,3,3,2500.0,3142,15000.0
38,https://www.domain.com.au/4a-fetherston-street-armadale-vic-3143-15975645,4a Fetherston Street Armadale VIC 3143,"$2,400.00","[-37.85662, 145.018182]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $14400,You MUST register for an inspection and we ask that you also confirm your attendance. AN AGENT WILL NOT BE PRESENT IF YOU DO NOT REGISTER and CONFIRM. Your consideration and co-operation is appreciated.,3,2,2,2400.0,3143,14400.0
39,https://www.domain.com.au/27-grandview-road-brighton-vic-3186-15993971,27 Grandview Road Brighton VIC 3186,"$2,400.00","[-37.9016247, 145.0047756]","[['5 Beds'], ['3 Baths'], ['4 Parking']]",Date Available: Available NowBond $14400,"Family perfection on a grand scale, this elite entertainer's spacious dimensions and sun-filled pool and garden surroundings provide sought after flexibility, fun and flair. Expertly meeting the demands of a busy lifestyle with exceptional living spaces, executive study and generous 5-bedroom accommodation in a prestigious Brighton locale.",5,3,4,2400.0,3186,14400.0
40,https://www.domain.com.au/1-2-shandford-avenue-brighton-vic-3186-15995849,1/2 SHANDFORD Avenue Brighton VIC 3186,"$2,400.00","[-37.9013936, 144.9849778]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $15000," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,2,2,2400.0,3186,15000.0
41,https://www.domain.com.au/241-299-queen-street-melbourne-vic-3000-15998618,241/299 Queen Street Melbourne VIC 3000,"$2,500 PW -TWO LEVELS","[-37.8114751, 144.9586205]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $15000Internal area 260m²," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,2,2,2500.0,3000,15000.0
42,https://www.domain.com.au/142-nelson-road-south-melbourne-vic-3205-16006557,142 Nelson Road South Melbourne VIC 3205,"$2,300.00","[-37.8375632, 144.9513968]","[['5 Beds'], ['3 Baths'], ['1 Parking'], []]",Date Available: Available NowBond $13800Land area 362m²,"This double-fronted, double-brick, freestanding, renovated, gracious residence modern convenience with period qualities.",5,3,1,2300.0,3205,13800.0
43,https://www.domain.com.au/23-bay-street-brighton-vic-3186-15865642,23 Bay Street Brighton VIC 3186,"$2,250.00","[-37.9033023, 144.9869653]","[['5 Beds'], ['3 Baths'], ['3 Parking']]",Date Available: Available NowBond $13500,"This solid-brick residence is situated on the prestigious Golden Mile and is graced with a sense of old-world Hollywood glamour. The 1920s family home offers grandly scaled entertaining and living zones including reception hall, an elegant lounge, formal dining room, and modern kitchen with Miele stainless steel appliances, family room overlooking rear, fenced in-ground pool, casual meals, four",5,3,3,2250.0,3186,13500.0
44,https://www.domain.com.au/unit-2707-35-spring-street-melbourne-vic-3000-16044913,UNIT 2707/35 SPRING STREET Melbourne VIC 3000,"$2,250","[-37.8141725, 144.9740049]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $9750Internal area 164m²," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,2,2,2250.0,3000,9750.0
45,https://www.domain.com.au/478-new-street-brighton-vic-3186-15992205,478 New Street Brighton VIC 3186,$2200 Per Week,"[-37.8929745, 144.9956723]","[['5 Beds'], ['3 Baths'], ['2 Parking']]","Available from Saturday, 10th September 2022Bond $13200",Samantha Middleton,5,3,2,2200.0,3186,13200.0
46,https://www.domain.com.au/2105-368-st-kilda-road-melbourne-vic-3004-15990663,2105/368 St Kilda Road Melbourne VIC 3004,"THE DEAL: $2,200 PER WEEK","[-37.8318086, 144.9710272]","[['3 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $11000Internal area 264m²,Zac Muller,3,2,2,2200.0,3004,11000.0
47,https://www.domain.com.au/12-the-heights-sorrento-vic-3943-15951991,12 The Heights Sorrento VIC 3943,"$2,200 pw","[-38.32832519999999, 144.7353897]","[['4 Beds'], ['3 Baths'], []]",Date Available: Available Now,"Commanding a prime position abutting the Sorrento Golf Course with panoramic views over the 18th green, this stunning, sun-drenched family home encompasses the laid-back ambience of a quintessential Peninsula lifestyle. Sit back and enjoy the whisper-quiet surroundings, stroll to Point King and Shelley beaches, easily walk to the array of cafes, boutiques and restaurants in Sorrento Village or",4,3,0,2200.0,3943,
48,https://www.domain.com.au/4-cowper-street-sandringham-vic-3191-16043512,4 Cowper Street Sandringham VIC 3191,"$2,150.00","[-37.95440749999999, 145.0067771]","[['4 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $9342,Treat yourself to an inspection of this premium four-bedroom plus study plus retreat Sandringham home.,4,2,2,2150.0,3191,9342.0
49,https://www.domain.com.au/4-cowper-street-sandringham-vic-3191-16043282,4 Cowper Street Sandringham VIC 3191,"$2,150.00","[-37.95440749999999, 145.0067771]","[['4 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $9342,"Treat yourself to an inspection of this premium four-bedroom plus study plus retreat Sandringham family home.
A complete package, this home features three downstairs double bedrooms with floor to ceiling full width wardrobes that sit beautifully across the hall from a study a fully equipped bathroom with freestanding bath and a separate laundry with external access, and further powder room.",4,2,2,2150.0,3191,9342.0
50,https://www.domain.com.au/8-champion-street-brighton-vic-3186-16048073,8 Champion Street Brighton VIC 3186,"$2,100.00","[-37.927999, 145.0033766]","[['5 Beds'], ['3 Baths'], ['4 Parking']]","Available from Monday, 26th September 2022Bond $10000",Carolyn Stephens,5,3,4,2100.0,3186,10000.0
51,https://www.domain.com.au/2a-omar-street-caulfield-south-vic-3162-16036419,2a Omar Street Caulfield South VIC 3162,"$2,100.00","[-37.8903662, 145.0205525]","[['4 Beds'], ['4 Baths'], ['4 Parking']]","Available from Friday, 2nd September 2022Bond $21000"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",4,4,4,2100.0,3162,21000.0
52,https://www.domain.com.au/22-campbell-street-frankston-vic-3199-15959231,22 Campbell Street Frankston VIC 3199,From $2100 per week,"[-38.1444939, 145.1433389]","[['3 Beds'], ['1 Bath'], ['1 Parking']]",Date Available: Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,1,1,2100.0,3199,
53,https://www.domain.com.au/802-181-fitzroy-st-st-kilda-vic-3182-15915050,802/181 Fitzroy St St Kilda VIC 3182,"$2,100 per week","[-37.8577879, 144.9811923]","[['4 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $10000,Kim Te,4,2,2,2100.0,3182,10000.0
54,https://www.domain.com.au/19-iona-street-black-rock-vic-3193-16018912,19 Iona Street Black Rock VIC 3193,"$2,000 pw","[-37.973172, 145.0166374]","[['4 Beds'], ['2 Baths'], ['3 Parking']]",Date Available: Available NowBond $10000,Tanya Tanner,4,2,3,2000.0,3193,10000.0
55,https://www.domain.com.au/4-19-birdwood-avenue-brighton-vic-3186-15875170,4/19 Birdwood Avenue Brighton VIC 3186,"$2,000.00","[-37.8942781, 144.9867852]","[['3 Beds'], ['3 Baths'], ['3 Parking']]",Date Available: Available NowBond $8667,You MUST register for an inspection and we ask that you also confirm your attendance. AN AGENT WILL NOT BE PRESENT IF YOU DO NOT REGISTER and CONFIRM. Your consideration and co-operation is appreciated.,3,3,3,2000.0,3186,8667.0
56,https://www.domain.com.au/2-winmarleigh-close-brighton-vic-3186-15954363,2 Winmarleigh Close Brighton VIC 3186,"$2,000.00","[-37.9245614, 144.9889585]","[['4 Beds'], ['3 Baths'], ['2 Parking']]",Date Available: Available NowBond $12000,"This spacious &amp; substantial two storey home is beautifully presented. From the wide formal entrance hall leads a separate study, a formal lounge room and a formal dining room. There is a powder room with separate toilet passage A well-appointed kitchen features a double Gaggeneau range, walk in pantry, plenty of cupboard space, marble bench tops and a study nook. A spacious laundry with abundant",4,3,2,2000.0,3186,12000.0
57,https://www.domain.com.au/8-st-finbars-crescent-brighton-east-vic-3187-15969436,8 St Finbars Crescent Brighton East VIC 3187,"$1,995.00","[-37.9169, 145.0147997]","[['5 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $11970,"8 St Finbars Crescent, Brighton East",5,2,2,1995.0,3187,11970.0
58,https://www.domain.com.au/8-st-finbars-crescent-brighton-east-vic-3187-16046548,8 St Finbars Crescent Brighton East VIC 3187,$1995.00 Per Week,"[-37.9169, 145.0147997]","[['5 Beds'], ['2 Baths'], ['2 Parking']]",Date Available: Available NowBond $11970,Samantha Middleton,5,2,2,1995.0,3187,11970.0
